ID32,uTuID,strID,strName,fVal,lDPUID,iNoInDPU,selecttime,exectime,fFactor,ulYCID32,iIndex,iZF,izfTuID,izfDPUID,izfNoInDPU,izfProcessID,lFlag,iDataType,iexecret
1,2,1,AGC就地目标值,0.000000,1,22,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,3,-1,1,5,0,0,4,0,0,0
2,2,1,AVC就地目标值,0.000000,1,24,0-0-0 0:0:0,2015-7-18 15:15:53,1.000000,62,-1,1,2,1,25095,4,0,0,0
3,2,1,AVC逆变器群总无功模拟,0.000000,1,26,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,17,-1,1,1,1,456,128,0,0,0
4,2,1,AVC逆变器总无功设定,0.000000,1,28,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,16,-1,1,1,1,458,128,0,0,0
5,2,1,by4,0.000000,1,25090,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,17,-1,0,5,0,0,4,0,0,0
6,2,1,by5,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,102,-1,0,5,0,0,4,0,0,0
7,3,1,SVG1无功目标,0.000000,1,25089,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,0,5,0,0,256,0,0,0
8,3,1,SVG1电压目标,0.000000,1,25090,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,0,5,0,0,256,0,0,0
9,3,1,SVG目标指令备用,0.000000,0,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
10,3,1,SVG目标指令备用,0.000000,0,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
11,3,1,SVG目标指令备用,0.000000,0,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
12,3,1,SVG目标指令备用,0.000000,0,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
13,3,1,SVG目标指令备用,0.000000,0,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
14,3,1,SVG目标指令备用,0.000000,0,25089,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
15,3,1,SVG目标指令备用,0.000000,0,25090,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
16,3,1,SVG目标指令备用,0.000000,0,25091,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
17,4,1,有功指令,0.000000,1,25089,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,2,-1,1,5,0,0,256,0,0,0
18,4,1,高压侧母线电压目标值,0.000000,1,25090,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,60,-1,1,1,1,2,128,0,0,0
19,4,1,高压侧母线电压参考值,0.000000,1,25091,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,41,-1,1,5,0,0,128,0,0,0
20,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
21,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
22,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
23,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
24,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
25,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
26,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
27,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
28,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
29,4,1,备用,0.000000,1,0,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,0,-1,1,5,0,0,256,0,0,0
30,5,1,#1-A逆变器P目标,0.000000,1,25089,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,203,-1,1,5,0,0,256,0,0,0
31,5,1,#1-A逆变器Q目标,0.000000,1,25090,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,223,-1,1,5,0,0,256,0,0,0
32,5,1,#1-B逆变器P目标,0.000000,1,25091,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,204,-1,1,5,0,0,256,0,0,0
33,5,1,#1-B逆变器Q目标,0.000000,1,25092,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,224,-1,1,5,0,0,256,0,0,0
34,5,1,#2-A逆变器P目标,0.000000,1,25093,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,205,-1,1,5,0,0,256,0,0,0
35,5,1,#2-A逆变器Q目标,0.000000,1,25094,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,225,-1,1,5,0,0,256,0,0,0
36,5,1,#2-B逆变器P目标,0.000000,1,25095,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,206,-1,1,5,0,0,256,0,0,0
37,5,1,#2-B逆变器Q目标,0.000000,1,25096,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,226,-1,1,5,0,0,256,0,0,0
38,5,1,#3-A逆变器P目标,0.000000,1,25097,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,207,-1,1,5,0,0,256,0,0,0
39,5,1,#3-A逆变器Q目标,0.000000,1,25098,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,227,-1,1,5,0,0,256,0,0,0
40,5,1,#3-B逆变器P目标,0.000000,1,25099,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,208,-1,1,5,0,0,256,0,0,0
41,5,1,#3-B逆变器Q目标,0.000000,1,25100,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,228,-1,1,5,0,0,256,0,0,0
42,5,1,#4-A逆变器P目标,0.000000,1,25101,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,209,-1,1,5,0,0,256,0,0,0
43,5,1,#4-A逆变器Q目标,0.000000,1,25102,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,229,-1,1,5,0,0,256,0,0,0
44,5,1,#4-B逆变器P目标,0.000000,1,25103,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,210,-1,1,5,0,0,256,0,0,0
45,5,1,#4-B逆变器Q目标,0.000000,1,25104,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,230,-1,1,5,0,0,256,0,0,0
46,5,1,#5-A逆变器P目标,0.000000,1,25105,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,211,-1,1,5,0,0,256,0,0,0
47,5,HMI界面AVC遥调,#5-A逆变器Q目标,0.000000,1,25106,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,231,-1,1,5,0,0,,0,0,0
48,5,HMI界面AVC遥调,#5-B逆变器P目标,0.000000,1,25107,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,212,-1,1,5,0,0,,0,0,0
49,5,HMI界面AVC遥调,#5-B逆变器Q目标,0.000000,1,25108,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,232,-1,1,5,0,0,,0,0,0
50,6,HMI界面AVC遥调,#6-A逆变器P目标,0.000000,1,25089,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,213,-1,1,5,0,0,,0,0,0
51,6,HMI界面AVC遥调,#6-A逆变器Q目标,0.000000,1,25090,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,233,-1,1,5,0,0,,0,0,0
52,6,HMI界面AVC遥调,#6-B逆变器P目标,0.000000,1,25091,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,214,-1,1,5,0,0,,0,0,0
53,6,HMI界面AVC遥调,#6-B逆变器Q目标,0.000000,1,25092,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,234,-1,1,5,0,0,,0,0,0
54,6,HMI界面AVC遥调,#7-A逆变器P目标,0.000000,1,25093,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,215,-1,1,5,0,0,,0,0,0
55,6,HMI界面AVC遥调,#7-A逆变器Q目标,0.000000,1,25094,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,235,-1,1,5,0,0,,0,0,0
56,6,HMI界面AVC遥调,#7-B逆变器P目标,0.000000,1,25095,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,216,-1,1,5,0,0,,0,0,0
57,6,HMI界面AVC参数设定,#7-B逆变器Q目标,0.000000,1,25096,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,236,-1,1,5,0,0,,0,0,0
58,6,HMI界面AVC参数设定,#8-A逆变器P目标,0.000000,1,25097,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,217,-1,1,5,0,0,,0,0,0
59,6,HMI界面AVC参数设定,#8-A逆变器Q目标,0.000000,1,25098,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,237,-1,1,5,0,0,,0,0,0
60,6,HMI界面AVC参数设定,#8-B逆变器P目标,0.000000,1,25099,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,218,-1,1,5,0,0,,0,0,0
61,6,HMI界面AVC参数设定,#8-B逆变器Q目标,0.000000,1,25100,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,238,-1,1,5,0,0,,0,0,0
62,6,HMI界面AVC参数设定,#9-A逆变器P目标,0.000000,1,25101,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,219,-1,1,5,0,0,,0,0,0
63,6,HMI界面AVC参数设定,#9-A逆变器Q目标,0.000000,1,25102,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,239,-1,1,5,0,0,,0,0,0
64,6,HMI界面AVC参数设定,#9-B逆变器P目标,0.000000,1,25103,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,220,-1,1,5,0,0,,0,0,0
65,6,HMI界面AVC参数设定,#9-B逆变器Q目标,0.000000,1,25104,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,240,-1,1,5,0,0,,0,0,0
66,6,HMI界面AVC参数设定,#10-A逆变器P目标,0.000000,1,25105,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,221,-1,1,5,0,0,,0,0,0
67,6,HMI界面AVC参数设定,#10-A逆变器Q目标,0.000000,1,25106,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,241,-1,1,5,0,0,,0,0,0
68,6,HMI界面AVC参数设定,#10-B逆变器P目标,0.000000,1,25107,0-0-0 0:0:0,2015-7-18 15:16:7,1.000000,222,-1,1,5,0,0,,0,0,0
